,country,experience_ml,age,role_group,gender,salary_avg
410,0,1,1,1,0,43.10818354904701
411,3,1,7,1,0,172.7492065931607
412,1,1,2,0,0,141.71828898488442
413,4,0,2,0,0,222.8988288144251
414,6,1,2,0,0,172.7492065931607
415,0,0,1,0,0,89.16583905874286
416,7,0,3,1,0,187.2326310891366
417,5,4,3,0,0,141.71828898488442
418,10,0,1,1,0,27.02080847004485
419,5,1,6,1,0,27.02080847004485
420,5,4,4,0,0,130.7087424308525
421,11,1,6,1,0,212.00749960243928
422,5,1,2,0,0,172.7492065931607
423,8,3,2,1,0,53.32961628929493
424,1,3,3,1,0,233.04048883648673
425,2,0,1,1,0,141.71828898488442
426,2,6,5,0,0,212.00749960243928
427,6,1,7,0,0,172.7492065931607
428,0,0,0,2,1,77.73682636782002
429,1,2,9,0,0,200.19851193256022
430,4,5,3,0,0,212.00749960243928
431,3,0,4,3,0,156.15953479311986
432,0,3,3,1,0,187.2326310891366
433,2,5,3,0,0,172.7492065931607
434,0,1,4,1,0,43.10818354904701
435,2,0,4,3,0,141.71828898488442
436,1,3,3,0,0,222.8988288144251
437,3,0,2,1,0,187.2326310891366
438,1,4,4,0,1,200.19851193256022
439,0,1,5,1,0,141.71828898488442
440,3,5,5,2,0,249.33775301859075
441,4,1,3,1,0,212.00749960243928
442,2,5,8,0,0,172.7492065931607
443,0,0,0,2,0,103.06289000048194
444,1,2,3,0,0,212.00749960243928
445,17,5,3,0,0,187.2326310891366
446,3,0,4,2,0,270.14982462478054
447,0,0,5,2,0,27.02080847004485
448,2,0,6,0,0,141.71828898488442
449,1,0,1,1,0,172.7492065931607
450,8,2,8,0,0,27.02080847004485
451,2,4,8,0,1,27.02080847004485
452,3,2,2,0,1,156.15953479311986
453,3,0,2,0,1,187.2326310891366
454,4,3,6,1,0,249.33775301859075
455,3,2,5,1,0,233.04048883648673
456,2,1,6,2,0,222.8988288144251
457,3,1,5,0,1,212.00749960243928
458,8,1,4,0,0,27.02080847004485
459,14,0,3,3,0,172.7492065931607
460,5,1,2,0,0,103.06289000048194
461,2,3,7,3,0,200.19851193256022
462,2,0,5,2,0,222.8988288144251
463,5,2,2,0,0,141.71828898488442
464,7,0,4,0,1,156.15953479311986
465,3,2,2,0,0,187.2326310891366
466,5,7,9,0,0,156.15953479311986
467,1,0,3,0,0,200.19851193256022
468,2,1,5,3,0,172.7492065931607
469,12,4,3,0,0,172.7492065931607
470,2,5,9,0,0,172.7492065931607
471,0,5,9,0,0,89.16583905874286
472,15,4,2,0,0,187.2326310891366
473,2,1,2,0,0,118.09813614437608
474,17,4,6,0,0,233.04048883648673
475,11,3,4,0,0,249.33775301859075
476,0,0,5,0,0,43.10818354904701
477,0,0,4,1,0,103.06289000048194
478,0,2,1,1,0,130.7087424308525
479,5,0,9,2,0,172.7492065931607
480,19,0,3,0,0,27.02080847004485
481,5,2,2,0,0,103.06289000048194
482,5,1,7,1,0,156.15953479311986
483,3,2,2,1,0,200.19851193256022
484,4,4,3,0,0,270.14982462478054
485,9,1,2,1,0,43.10818354904701
486,0,1,1,0,0,27.02080847004485
487,0,0,0,2,0,103.06289000048194
488,15,1,4,0,0,187.2326310891366
489,0,3,2,1,0,53.32961628929493
490,6,1,8,1,1,103.06289000048194
491,4,0,3,2,0,172.7492065931607
492,7,2,2,1,0,222.8988288144251
493,1,1,3,3,0,53.32961628929493
494,11,1,3,1,0,233.04048883648673
495,7,1,7,2,1,249.33775301859075
496,5,4,4,1,0,141.71828898488442
497,4,2,2,0,0,200.19851193256022
498,1,2,3,0,0,212.00749960243928
499,9,0,2,2,0,27.02080847004485
